"","p.val","microrna"
"1",0.0374342835821154,"hsa-miR-20b-5p"
"2",0.507132850384858,"hsa-miR-15b-5p"
"3",0.0615545998331172,"hsa-miR-615-3p"
"4",0.212750276767229,"hsa-miR-454-3p"
"5",0.868289003106296,"hsa-miR-33a-5p"
"6",0.0206157197902375,"hsa-miR-148b-5p"
"7",0.303319143697639,"hsa-miR-183-3p"
"8",0.908613011559539,"hsa-miR-1254"
"9",0.211676991637608,"hsa-miR-1301-3p"
"10",0.395602713688798,"hsa-miR-141-3p"
"11",0.361030040863663,"hsa-miR-429"
"12",0.517990493531649,"hsa-miR-671-5p"
"13",0.321638803559421,"hsa-miR-7-5p"
"14",0.173099162247933,"hsa-miR-301a-3p"
"15",0.540130589878096,"hsa-miR-33b-5p"
"16",0.601698138199915,"hsa-miR-93-3p"
"17",0.159792327460597,"hsa-miR-16-2-3p"
"18",0.747210188848493,"hsa-miR-760"
"19",0.0236750116079723,"hsa-miR-16-1-3p"
"20",0.844318740407429,"hsa-miR-592"
"21",0.602625687408835,"hsa-miR-32-3p"
"22",0.0087477692547725,"hsa-miR-151a-5p"
"23",0.776564502044132,"hsa-miR-185-3p"
"24",0.668098269371226,"hsa-miR-1292-5p"
"25",0.00851544597974485,"hsa-miR-940"
"26",0.0699602247288391,"hsa-miR-98-5p"
"27",0.472627768168589,"hsa-miR-183-5p"
"28",0.000266021323040433,"hsa-miR-1307-3p"
"29",0.922570166378346,"hsa-miR-192-5p"
"30",0.410855390821591,"hsa-miR-425-5p"
"31",0.111323584403959,"hsa-miR-3187-3p"
"32",0.996885604328383,"hsa-miR-15b-3p"
"33",0.146654477557228,"hsa-miR-3662"
"34",0.161167351633609,"hsa-miR-103a-2-5p"
"35",0.122926733499624,"hsa-miR-148b-3p"
"36",0.12524907075696,"hsa-miR-130b-3p"
"37",0.637806832306999,"hsa-miR-200b-5p"
"38",0.62827866367688,"hsa-miR-331-5p"
"39",0.2353939823864,"hsa-miR-96-5p"
"40",0.0600001374677807,"hsa-miR-16-5p"
"41",0.990038024671911,"hsa-miR-4677-3p"
"42",0.560517216460456,"hsa-miR-93-5p"
"43",0.832517723851712,"hsa-miR-3065-5p"
"44",0.064874340776914,"hsa-miR-200c-3p"
"45",0.447782254097122,"hsa-miR-769-5p"
"46",0.384183514568817,"hsa-miR-301a-5p"
"47",0.104473844945267,"hsa-miR-4326"
"48",0.878861312594429,"hsa-miR-590-3p"
"49",0.00711341078449901,"hsa-miR-340-3p"
"50",0.496608857309774,"hsa-miR-106b-5p"
"51",0.0053995104257577,"hsa-miR-877-5p"
"52",0.103269324340348,"hsa-miR-106a-5p"
"53",0.0259404569121102,"hsa-miR-1229-3p"
"54",0.81852016678959,"hsa-miR-1224-5p"
"55",0.667412416657668,"hsa-miR-210-3p"
"56",0.409588174418623,"hsa-miR-939-5p"
"57",0.0740492938298682,"hsa-miR-301b"
"58",0.307418918900878,"hsa-miR-590-5p"
"59",0.822443521070777,"hsa-miR-200c-5p"
"60",0.0184382471670942,"hsa-miR-3200-3p"
"61",0.080924674084055,"hsa-miR-3677-5p"
